trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.75, 'e': 0.7034476949995692}",25,0,-73.94285766231548,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.75, 'e': 0.6964132180495735}",20,0,-147.46790124952943,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
37,False,"{'a': 0.75, 'e': 0.6894490858690777}",30,0,-122.71333809924123,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
38,False,"{'a': 0.75, 'e': 0.682554595010387}",20,0,-39.514655787881146,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.75, 'e': 0.6757290490602831}",20,0,-84.47571291926117,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.75, 'e': 0.6689717585696803}",20,7,-27.777954194116155,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.75, 'e': 0.6622820409839835}",25,0,-55.75381949267164,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.75, 'e': 0.6556592205741436}",25,0,-68.96512267778228,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.75, 'e': 0.6491026283684022}",20,0,-5.507823976417757,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.75, 'e': 0.6426116020847181}",30,14,-73.22311915552453,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.75, 'e': 0.6361854860638709}",20,0,-7.1761163888587784,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.75, 'e': 0.6298236312032323}",20,0,-57.30163691345942,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.6235253948912}",20,0,-85.50290250728078,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
48,False,"{'a': 0.75, 'e': 0.617290140942288}",20,0,-59.71894260695203,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.75, 'e': 0.611117239532865}",20,0,-52.20109340821062,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.75, 'e': 0.6050060671375364}",20,0,4.9356176858498655,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.75, 'e': 0.598956006466161}",20,13,-1.9531485755180504,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.75, 'e': 0.5929664464014994}",30,0,-80.4945332056295,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.75, 'e': 0.5870367819374844}",20,0,-57.01888712323623,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.75, 'e': 0.5811664141181095}",20,0,-44.79009011324853,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.5753547499769285}",20,0,-53.00032481024316,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.75, 'e': 0.5696012024771592}",30,0,6.537589878742113,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.75, 'e': 0.5639051904523875}",20,0,-127.03814696697901,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
